DateID,Day,DayOfWeekNo,DayOfWeek,DayOfYear,WeekNo,MonthNo,Month,QtrNo,Quarter,Year,Mon
20470711,11,5,Thursday,192,28,7,July,3,Q3,2047,Jul
20470712,12,6,Friday,193,28,7,July,3,Q3,2047,Jul
20470713,13,7,Saturday,194,28,7,July,3,Q3,2047,Jul
20480705,5,1,Sunday,187,28,7,July,3,Q3,2048,Jul
20480706,6,2,Monday,188,28,7,July,3,Q3,2048,Jul
20480707,7,3,Tuesday,189,28,7,July,3,Q3,2048,Jul
20480708,8,4,Wednesday,190,28,7,July,3,Q3,2048,Jul
20480709,9,5,Thursday,191,28,7,July,3,Q3,2048,Jul
20480710,10,6,Friday,192,28,7,July,3,Q3,2048,Jul
20480711,11,7,Saturday,193,28,7,July,3,Q3,2048,Jul
20490704,4,1,Sunday,185,28,7,July,3,Q3,2049,Jul
20490705,5,2,Monday,186,28,7,July,3,Q3,2049,Jul
20490706,6,3,Tuesday,187,28,7,July,3,Q3,2049,Jul
20490707,7,4,Wednesday,188,28,7,July,3,Q3,2049,Jul
20490708,8,5,Thursday,189,28,7,July,3,Q3,2049,Jul
20490709,9,6,Friday,190,28,7,July,3,Q3,2049,Jul
20490710,10,7,Saturday,191,28,7,July,3,Q3,2049,Jul
20060716,16,1,Sunday,197,29,7,July,3,Q3,2006,Jul
20060717,17,2,Monday,198,29,7,July,3,Q3,2006,Jul
20060718,18,3,Tuesday,199,29,7,July,3,Q3,2006,Jul
20060719,19,4,Wednesday,200,29,7,July,3,Q3,2006,Jul
20060720,20,5,Thursday,201,29,7,July,3,Q3,2006,Jul
20060721,21,6,Friday,202,29,7,July,3,Q3,2006,Jul
20060722,22,7,Saturday,203,29,7,July,3,Q3,2006,Jul
20070715,15,1,Sunday,196,29,7,July,3,Q3,2007,Jul
20070716,16,2,Monday,197,29,7,July,3,Q3,2007,Jul
20070717,17,3,Tuesday,198,29,7,July,3,Q3,2007,Jul
20070718,18,4,Wednesday,199,29,7,July,3,Q3,2007,Jul
20070719,19,5,Thursday,200,29,7,July,3,Q3,2007,Jul
20070720,20,6,Friday,201,29,7,July,3,Q3,2007,Jul
20070721,21,7,Saturday,202,29,7,July,3,Q3,2007,Jul
20080713,13,1,Sunday,195,29,7,July,3,Q3,2008,Jul
20080714,14,2,Monday,196,29,7,July,3,Q3,2008,Jul
20080715,15,3,Tuesday,197,29,7,July,3,Q3,2008,Jul
20080716,16,4,Wednesday,198,29,7,July,3,Q3,2008,Jul
20080717,17,5,Thursday,199,29,7,July,3,Q3,2008,Jul
20080718,18,6,Friday,200,29,7,July,3,Q3,2008,Jul
20080719,19,7,Saturday,201,29,7,July,3,Q3,2008,Jul
20090712,12,1,Sunday,193,29,7,July,3,Q3,2009,Jul
20090713,13,2,Monday,194,29,7,July,3,Q3,2009,Jul
20090714,14,3,Tuesday,195,29,7,July,3,Q3,2009,Jul
20090715,15,4,Wednesday,196,29,7,July,3,Q3,2009,Jul
20090716,16,5,Thursday,197,29,7,July,3,Q3,2009,Jul
20090717,17,6,Friday,198,29,7,July,3,Q3,2009,Jul
20090718,18,7,Saturday,199,29,7,July,3,Q3,2009,Jul
20100711,11,1,Sunday,192,29,7,July,3,Q3,2010,Jul
20100712,12,2,Monday,193,29,7,July,3,Q3,2010,Jul
20100713,13,3,Tuesday,194,29,7,July,3,Q3,2010,Jul
20100714,14,4,Wednesday,195,29,7,July,3,Q3,2010,Jul
20100715,15,5,Thursday,196,29,7,July,3,Q3,2010,Jul
20100716,16,6,Friday,197,29,7,July,3,Q3,2010,Jul
20100717,17,7,Saturday,198,29,7,July,3,Q3,2010,Jul
20110710,10,1,Sunday,191,29,7,July,3,Q3,2011,Jul
20110711,11,2,Monday,192,29,7,July,3,Q3,2011,Jul
20110712,12,3,Tuesday,193,29,7,July,3,Q3,2011,Jul
20110713,13,4,Wednesday,194,29,7,July,3,Q3,2011,Jul
20110714,14,5,Thursday,195,29,7,July,3,Q3,2011,Jul
20110715,15,6,Friday,196,29,7,July,3,Q3,2011,Jul
20110716,16,7,Saturday,197,29,7,July,3,Q3,2011,Jul
20120715,15,1,Sunday,197,29,7,July,3,Q3,2012,Jul
20120716,16,2,Monday,198,29,7,July,3,Q3,2012,Jul
20120717,17,3,Tuesday,199,29,7,July,3,Q3,2012,Jul
20120718,18,4,Wednesday,200,29,7,July,3,Q3,2012,Jul
20120719,19,5,Thursday,201,29,7,July,3,Q3,2012,Jul
20120720,20,6,Friday,202,29,7,July,3,Q3,2012,Jul
20120721,21,7,Saturday,203,29,7,July,3,Q3,2012,Jul
20130714,14,1,Sunday,195,29,7,July,3,Q3,2013,Jul
20130715,15,2,Monday,196,29,7,July,3,Q3,2013,Jul
20130716,16,3,Tuesday,197,29,7,July,3,Q3,2013,Jul
20130717,17,4,Wednesday,198,29,7,July,3,Q3,2013,Jul
20130718,18,5,Thursday,199,29,7,July,3,Q3,2013,Jul
20130719,19,6,Friday,200,29,7,July,3,Q3,2013,Jul
20130720,20,7,Saturday,201,29,7,July,3,Q3,2013,Jul
20140713,13,1,Sunday,194,29,7,July,3,Q3,2014,Jul
20140714,14,2,Monday,195,29,7,July,3,Q3,2014,Jul
20140715,15,3,Tuesday,196,29,7,July,3,Q3,2014,Jul
20140716,16,4,Wednesday,197,29,7,July,3,Q3,2014,Jul
20140717,17,5,Thursday,198,29,7,July,3,Q3,2014,Jul
20140718,18,6,Friday,199,29,7,July,3,Q3,2014,Jul
20140719,19,7,Saturday,200,29,7,July,3,Q3,2014,Jul
20150712,12,1,Sunday,193,29,7,July,3,Q3,2015,Jul
20150713,13,2,Monday,194,29,7,July,3,Q3,2015,Jul
20150714,14,3,Tuesday,195,29,7,July,3,Q3,2015,Jul
20150715,15,4,Wednesday,196,29,7,July,3,Q3,2015,Jul
20150716,16,5,Thursday,197,29,7,July,3,Q3,2015,Jul
20150717,17,6,Friday,198,29,7,July,3,Q3,2015,Jul
20150718,18,7,Saturday,199,29,7,July,3,Q3,2015,Jul
20160710,10,1,Sunday,192,29,7,July,3,Q3,2016,Jul
20160711,11,2,Monday,193,29,7,July,3,Q3,2016,Jul
20160712,12,3,Tuesday,194,29,7,July,3,Q3,2016,Jul
20160713,13,4,Wednesday,195,29,7,July,3,Q3,2016,Jul
20160714,14,5,Thursday,196,29,7,July,3,Q3,2016,Jul
20160715,15,6,Friday,197,29,7,July,3,Q3,2016,Jul
20160716,16,7,Saturday,198,29,7,July,3,Q3,2016,Jul
20170716,16,1,Sunday,197,29,7,July,3,Q3,2017,Jul
20170717,17,2,Monday,198,29,7,July,3,Q3,2017,Jul
20170718,18,3,Tuesday,199,29,7,July,3,Q3,2017,Jul
20170719,19,4,Wednesday,200,29,7,July,3,Q3,2017,Jul
20170720,20,5,Thursday,201,29,7,July,3,Q3,2017,Jul
20170721,21,6,Friday,202,29,7,July,3,Q3,2017,Jul
20170722,22,7,Saturday,203,29,7,July,3,Q3,2017,Jul
20180715,15,1,Sunday,196,29,7,July,3,Q3,2018,Jul
20180716,16,2,Monday,197,29,7,July,3,Q3,2018,Jul
20180717,17,3,Tuesday,198,29,7,July,3,Q3,2018,Jul
20180718,18,4,Wednesday,199,29,7,July,3,Q3,2018,Jul
20180719,19,5,Thursday,200,29,7,July,3,Q3,2018,Jul
20180720,20,6,Friday,201,29,7,July,3,Q3,2018,Jul
20180721,21,7,Saturday,202,29,7,July,3,Q3,2018,Jul
20190714,14,1,Sunday,195,29,7,July,3,Q3,2019,Jul
20190715,15,2,Monday,196,29,7,July,3,Q3,2019,Jul
20190716,16,3,Tuesday,197,29,7,July,3,Q3,2019,Jul
20190717,17,4,Wednesday,198,29,7,July,3,Q3,2019,Jul
20190718,18,5,Thursday,199,29,7,July,3,Q3,2019,Jul
