Date,EmplID,Gender,Age,EtnicGroup,FP,TermDate,IsNewHire,BU,HireDate,PayTypeID,TermReason,AgeGroupID,TenureDays,TenureMonths,BadHires
11/1/2014 0:00,24132,D,22,4,P,11/30/2014 0:00,0,18,9/6/2013 0:00,H,V,1,421,14,0
11/1/2014 0:00,1080,D,20,1,P,11/29/2014 0:00,0,2,7/17/2014 0:00,H,V,1,107,3,0
11/1/2014 0:00,24586,C,19,1,P,11/29/2014 0:00,0,99,8/26/2014 0:00,H,V,1,67,2,0
11/1/2014 0:00,2718,C,19,1,P,11/29/2014 0:00,0,6,8/9/2014 0:00,H,V,1,84,2,0
11/1/2014 0:00,27656,C,23,1,P,11/29/2014 0:00,0,99,8/26/2014 0:00,H,V,1,67,2,0
11/1/2014 0:00,32818,C,18,1,P,11/29/2014 0:00,0,10,10/15/2014 0:00,H,V,1,17,0,1
11/1/2014 0:00,9334,D,18,1,P,11/29/2014 0:00,1,2,11/7/2014 0:00,H,V,1,6,0,1
11/1/2014 0:00,33108,D,26,1,P,11/29/2014 0:00,0,16,8/10/2012 0:00,H,V,1,813,27,0
11/1/2014 0:00,30382,D,43,1,P,11/29/2014 0:00,1,19,11/12/2014 0:00,H,V,2,11,0,1
11/1/2014 0:00,6268,D,58,1,P,11/29/2014 0:00,0,1,5/29/2014 0:00,H,V,3,156,5,0
11/1/2014 0:00,23592,D,64,1,P,11/29/2014 0:00,0,1,10/25/1984 0:00,H,V,3,10964,365,0
11/1/2014 0:00,26318,D,29,1,P,11/29/2014 0:00,0,5,8/7/2009 0:00,H,V,1,1912,63,0
11/1/2014 0:00,27360,C,26,1,P,11/29/2014 0:00,0,24,8/30/2013 0:00,H,V,1,428,14,0
11/1/2014 0:00,2492,C,27,1,P,11/29/2014 0:00,0,8,4/8/2010 0:00,H,V,1,1668,55,0
11/1/2014 0:00,24454,C,29,1,P,11/29/2014 0:00,0,99,3/4/2014 0:00,H,V,1,242,8,0
11/1/2014 0:00,25610,C,32,1,P,11/29/2014 0:00,0,7,8/19/2003 0:00,H,V,2,4092,136,0
11/1/2014 0:00,27168,C,61,1,P,11/29/2014 0:00,1,24,11/4/2014 0:00,H,V,3,3,0,1
11/1/2014 0:00,22418,C,64,1,F,11/29/2014 0:00,0,99,6/10/1969 0:00,H,V,3,16580,552,0
11/1/2014 0:00,23662,D,64,1,F,11/29/2014 0:00,0,2,8/29/1971 0:00,H,V,3,15770,525,0
11/1/2014 0:00,24768,D,27,1,F,11/29/2014 0:00,0,22,12/8/2011 0:00,H,V,1,1059,35,0
11/1/2014 0:00,22830,D,72,1,F,11/29/2014 0:00,0,21,8/22/2006 0:00,H,V,3,2993,99,0
11/1/2014 0:00,22746,D,66,1,F,11/29/2014 0:00,0,10,5/7/1987 0:00,H,V,3,10040,334,0
11/1/2014 0:00,24042,D,61,1,F,11/29/2014 0:00,0,8,10/2/1979 0:00,H,V,3,12814,427,0
11/1/2014 0:00,33082,D,65,1,F,11/29/2014 0:00,0,16,4/20/1995 0:00,H,V,3,7135,237,0
11/1/2014 0:00,23174,C,59,1,F,11/29/2014 0:00,0,1,11/17/1972 0:00,H,V,3,15324,510,0
11/1/2014 0:00,29100,C,24,1,F,11/29/2014 0:00,0,4,6/9/2010 0:00,H,V,1,1606,53,0
11/1/2014 0:00,10150,D,20,1,P,11/29/2014 0:00,0,3,7/17/2014 0:00,H,U,1,107,3,0
11/1/2014 0:00,21334,C,19,1,P,11/29/2014 0:00,0,17,4/2/2014 0:00,H,U,1,213,7,0
